GEO_ID,NAME,S1401_C01_001E
16001,"Ada County, Idaho",124133
16003,"Adams County, Idaho",643
16005,"Bannock County, Idaho",24330
16007,"Bear Lake County, Idaho",1611
16009,"Benewah County, Idaho",1768
16011,"Bingham County, Idaho",13075
16013,"Blaine County, Idaho",5094
16015,"Boise County, Idaho",1126
16017,"Bonner County, Idaho",8407
16019,"Bonneville County, Idaho",34773
16021,"Boundary County, Idaho",2473
16023,"Butte County, Idaho",596
16025,"Camas County, Idaho",257
16027,"Canyon County, Idaho",61292
16029,"Caribou County, Idaho",1885
16031,"Cassia County, Idaho",6902
16033,"Clark County, Idaho",192
16035,"Clearwater County, Idaho",1357
16037,"Custer County, Idaho",680
16039,"Elmore County, Idaho",6591
16041,"Franklin County, Idaho",4171
16043,"Fremont County, Idaho",3338
16045,"Gem County, Idaho",3958
16047,"Gooding County, Idaho",3815
16049,"Idaho County, Idaho",3200
16051,"Jefferson County, Idaho",9994
16053,"Jerome County, Idaho",6668
16055,"Kootenai County, Idaho",36857
16057,"Latah County, Idaho",15107
16059,"Lemhi County, Idaho",1429
16061,"Lewis County, Idaho",753
16063,"Lincoln County, Idaho",1306
16065,"Madison County, Idaho",24083
16067,"Minidoka County, Idaho",5582
16069,"Nez Perce County, Idaho",9070
16071,"Oneida County, Idaho",1137
16073,"Owyhee County, Idaho",2721
16075,"Payette County, Idaho",6029
16077,"Power County, Idaho",2085
16079,"Shoshone County, Idaho",2060
16081,"Teton County, Idaho",2411
16083,"Twin Falls County, Idaho",23231
16085,"Valley County, Idaho",1879
16087,"Washington County, Idaho",2200